"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"538","4056","Global","Fruits","GRAPES","Blue/Black Seedless (All other varieties not listed [including Beauty and Autumn Royal])","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2024-12-12 15:41:59","1999-12-30 23:00:00","","EN"
"539","4057","Global","Fruits","APPLES","Haralson"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"540","4058","Global","Fruits","APPLES","Haralson"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"541","4060","Global","Vegetables","BROCCOLI","","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"542","4061","Global","Vegetables","LETTUCE","Iceberg","All Sizes","","","","Lactuca sativa","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"543","4062","Global","Vegetables","CUCUMBER","Green/Ridge/Short","   All Sizes   ","","","","Cucumis sativus","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"544","4063","Global","Vegetables","TOMATOES","Regular - Red","   Small   ","6x6 size and smaller","Less than 70mm diameter","","Lycopersicon esculenta","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"545","4064","Global","Vegetables","TOMATOES","Regular - Red","Large","5x6 size and larger","Diameter 70mm and above","","Lycopersicon esculenta","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"546","4065","Global","Vegetables","PEPPERS (CAPSICUMS)","Bell, Field Grown - Green","  Large  ","large size and larger","Min diameter 65mm and above","","Capsicum spp","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"547","4066","Global","Vegetables","BEANS","Green/French","   All Sizes   ","","","","Phaseolus vulgaris","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"548","4067","Global","Vegetables","SQUASH","Zucchini/Courgette"," All Sizes ","","","","C.pepo","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"549","4068","Global","Vegetables","ONIONS","Green (Scallions)/Spring"," All Sizes ","","","","Allium spp.","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"550","4069","Global","Vegetables","CABBAGE","Green","All Sizes ","","","","Brassica oleracea","","Approved","","","Christina D'allarco","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"551","4070","Global","Vegetables","CELERY","Bunch","Small","30 size and smaller","","","","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"552","4071","Global","Vegetables","CELERY","Bunch","Small","30 size and smaller","","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"553","4072","Global","Vegetables","POTATO","Russet","All Sizes","","","","Solanum tuberosum","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
